Stkcd,Pressure,Tone,Size,Growth,year,indus1,NCSKEW,DUVOL,EM,EPS,Institution,Shareholding
31,-.06808533,.18503119,26.020941,.137885,2020,59,-.2112321108579636,.1409716308116913,4.378702,-.09,80.8468,1
34,.5790136,.56917688,23.558662,87.483665,2016,70,-.254538506269455,-.224383607506752,6.427488,.67,31.2461,0
34,-.06644163,.424821,23.980803,.31570801,2018,70,-.0705322846770287,-.3813404142856598,6.755627,.7834,25.3791,0
34,.27951276,.43820225,24.104971,.060413,2019,70,-1.329847574234009,-1.058420181274414,6.724982,1.0788,25.2382,0
34,.34268592,.44273128,24.14719,.060563,2020,70,.8143315315246582,.5780211687088013,6.52583,.9637,19.8651,0
35,-1.772118,.17843866,22.204649,.49827299,2015,36,-.9522544145584106,-.4241729080677032,2.377366,.37,57.2651,0
35,.22300593,.16358025,22.514774,.18791001,2016,36,-.3638908863067627,-.5367931723594666,2.908415,.1709,52.3555,0
35,.35968201,-.07407407,22.818859,.6438700000000001,2017,36,.0412898026406765,.5515167117118835,2.667075,.1729,51.5998,0
35,.2006404,.05544554,24.57971,9.0640345,2019,36,-.5494304299354553,-.5275232195854187,4.041268,.3018,56.1764,0
35,.1414962,-.02893891,24.642818,.176488,2020,36,.6417266726493835,.3258296251296997,4.031994,.26,48.2413,0
36,.84502619,.50483092,22.998014,4.309525,2016,59,-.9431964159011841,-.4435641467571259,2.416441,1.18,35.1487,0
36,.53177927,.42325581,22.888731,.82882899,2017,59,-1.344712257385254,-.3761799037456512,1.715373,1.177,35.0057,0
36,.54291933,.46777547,23.111389,-.160427,2018,59,-.1401585191488266,-.3146791756153107,2.0024,.849,38.3962,0
36,.99325491,.43613349,23.219936,-.049766,2019,59,-.2944553196430206,-.2594074010848999,2.150512,.551,40.0869,0
36,.8461488,.30412371,23.106922,-.14629699,2020,59,-.1841684877872467,.0442768409848213,1.861568,.37,36.2769,0
39,.17145039,.39587492,25.198055,.21074,2014,30,-1.145386457443237,-.9936954975128174,3.217353,.93,74.9164,1
39,.25533302,.42072214,25.393879,-.162479,2015,30,.1513753682374954,-.0385849848389626,3.007847,.72,79.2518,1
39,.39612837,.43857036,25.548492,-.129063,2016,30,-.6827592849731445,-.5913472771644592,3.184245,.14,79.7011,1
39,.754552,.42473118,25.595438,.492809,2017,30,.1383832544088364,.282297283411026,3.020632,.8100000000000001,80.1665,1
39,.37434895,.4206235,25.791439,.22539601,2018,30,.7104030847549438,.8395040035247803,3.031964,1.11,78.8272,1
39,.149435,.39426349,25.871386,-.082166,2019,30,-.1843352913856506,-.1541527509689331,3.127068,.37,79.876,1
39,.31212194,.42294088,25.708321,.097229,2020,30,-2.025140523910522,-1.391520857810974,2.714969,1.41,80.6002,1
40,.1504783,.44463373,23.573277,1.265375,2016,59,.2642607390880585,.5407856106758118,1.576805,.19,78.50190000000001,0
40,.1912841,.24019608,24.087229,1.1547689,2017,59,.229338750243187,.3626165688037872,2.500421,.41,73.99679999999999,0
40,.27371177,.06262904,24.261992,.06706,2018,59,-.4344293773174286,-.0080230394378304,2.362406,.83,65.3287,0
40,.75509243,-.0375802,24.156841,-.215591,2019,59,.5016536712646484,.3695330321788788,2.291861,-.6437,49.9079,0
40,2.4381442,.00851064,23.989069,-.48992801,2020,59,-.5196869373321533,-.3580977618694305,2.148477,-.6866,45.4772,0
42,.827047,.47058824,23.508051,.37045899,2014,59,-.4084266722202301,-.2540445029735565,4.906788,.6381,68.676,0
42,1.752804,.45701357,23.926882,.66440898,2015,59,.1942257285118103,-.3180160820484161,4.384007,.8377,70.8229,0
42,1.6597589,.39770115,24.096119,.6077730099999999,2016,59,-.3794785439968109,-.0208047777414322,4.975412,.3959,73.8154,0
42,1.1855328,.18562874,24.498779,.06635,2017,59,-.131270706653595,-.2601705491542816,6.336586,.9256,73.9704,0
42,.79845349,.16287215,24.553009,-.082286,2018,59,1.631181120872498,.8056907057762146,6.006907,.6719000000000001,76.2972,0
42,1.3066926,.14675768,24.533068,-.091782,2019,59,.2011788040399551,.0082830786705017,5.633697,1.184,73.7075,0
42,1.7637818,.2053973,24.51749,.48298499,2020,59,.1846537590026855,.0904597342014313,5.422068,.4232,75.84,0
45,.7748028,.4152652,21.76099,.070599,2014,46,-.1977311819791794,-.2959799766540527,1.285275,-.22,53.0869,1
45,.2298651,.47191011,21.811625,.013043,2015,46,.158592700958252,.0562431402504444,1.365509,.02,55.8862,1
45,.64755293,.37777778,22.139019,-.02327,2016,46,.0023762339260429,-.1378779262304306,1.197513,-.17,52.4329,1
45,.8290305,.31325301,22.157337,.23146801,2017,46,-.8148524165153503,-.621660053730011,1.190952,.1,49.3624,1
48,.52891272,.34757282,21.396076,-.32179901,2016,11,.2776175141334534,.5151581168174744,2.37239,.0153,69.36960000000001,0
48,1.358999,.20912548,22.085466,-.007441,2017,11,-.0459062792360783,.0588181540369987,5.509403,-.398,68.3621,0
49,1.2521228,.4422658,22.265625,.45135701,2014,35,.2588532865047455,.2634351253509521,5.090574,1.1428,48.0876,1
49,1.2824454,.47826087,21.947798,.319987,2015,35,-.6411632895469666,-.5614669919013977,2.840679,1.1217,63.8911,1
49,.81605543,.51916376,22.361444,.034411,2016,35,-.6049053072929382,-.2407892346382141,3.430288,1.2439,67.4105,1
49,.246242,.29310345,22.75392,.43115401,2017,35,.3781401216983795,.3215916752815247,4.197323,1.4643,62.9706,1
49,.49743924,.53608247,22.900517,.38148901,2018,35,-.8142299056053162,-.5652004480361938,3.895547,1.9556,59.3411,1
49,.25269112,.49498998,22.894621,.069189,2019,35,-1.6022629737854,-1.160369515419006,3.065146,2.4409,55.3036,1
49,-.46447619,.55140187,22.924847,.051789,2020,35,-1.565040469169617,-.6147703528404236,3.202774,3.2321,66.3442,1
50,.15275219,1,23.476448,1.062754,2014,36,-1.21022629737854,-.7868092656135559,1.832997,.7116,67.9663,1
50,.1422916,.36056838,23.797287,.12954199,2015,36,-.196098580956459,-.0959706902503967,1.632559,.4901,68.9718,1
50,.3487913,.42806394,23.799625,.019635,2016,36,-.211162194609642,-.0178983733057976,1.575652,.4062,64.6811,1
50,.37792006,.45507246,24.112804,.305096,2017,36,-.0117789907380939,.1449407339096069,2.048544,.5760999999999999,55.1748,1
50,.4598647,.42312277,24.818226,1.0632679,2018,36,.2347834408283234,-.0774096101522446,2.308695,.4599,68.821,1
50,.75962018,.408,24.904568,.047401,2019,36,-.5742941498756409,-.3335728049278259,2.450686,.4049,68.2959,1
50,.79142941,.33623504,25.021338,-.034649,2020,36,-.3594910502433777,-.0615303032100201,2.191285,.6749000000000001,66.0556,1
55,-.16910021,.56888889,22.219345,.31580999,2015,30,-.7395021915435791,-.5772695541381836,3.34633,.14,30.2457,0
55,.5377501,.53772071,22.638283,.64827299,2016,30,-.5242086052894592,-.582862913608551,2.947927,.91,29.2392,0
55,.83498936,.42774566,22.754753,-.29886699,2017,30,-.2640239298343658,-.3260161280632019,2.354296,.97,29.9246,0
55,-.4361521,.39195231,23.089657,.034338,2018,30,-.8972134590148926,-.4176341891288757,2.051678,1.91,26.1081,0
